300.0 :  [[1000, 1000, 1000, 357, 307, 328, 1000, 1000, 1000, 1000, 1000, 1000, 572, 1000, 1000, 253, 1000, 1000, 980, 897], [1000, 1000, 339, 995, 516, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 622], [1000, 1000, 1000, 847, 564, 1000, 1000, 1000, 1000, 1000, 806, 1000, 901, 1000, 1000, 1000, 1000, 1000, 373, 478], [1000, 1000, 1000, 726, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]]
600.0 :  [[616, 472, 410, 1000, 420, 1000, 1000, 585, 1000, 1000, 1000, 520, 327, 1000, 410, 337, 593, 562, 458, 327], [400, 1000, 459, 1000, 332, 422, 1000, 280, 289, 171, 279, 293, 320, 1000, 1000, 272, 654, 288, 594, 192], [462, 1000, 214, 1000, 322, 309, 405, 334, 1000, 173, 376, 367, 428, 275, 1000, 358, 1000, 420, 544, 830], [1000, 1000, 1000, 1000, 510, 255, 334, 235, 1000, 252, 314, 394, 511, 375, 1000, 255, 1000, 221, 193, 1000]]
900.0 :  [[388, 313, 234, 291, 301, 267, 320, 299, 219, 370, 340, 229, 264, 187, 311, 537, 369, 256, 376, 394], [407, 1000, 1000, 230, 468, 1000, 298, 1000, 337, 283, 363, 211, 1000, 1000, 292, 1000, 926, 1000, 347, 286], [1000, 1000, 228, 443, 1000, 1000, 245, 1000, 780, 220, 381, 327, 1000, 1000, 1000, 1000, 334, 245, 310, 255], [1000, 1000, 1000, 340, 1000, 1000, 1000, 1000, 1000, 473, 1000, 1000, 1000, 1000, 295, 170, 655, 274, 1000, 1000]]
1200.0 :  [[1000, 241, 223, 1000, 268, 277, 1000, 280, 349, 539, 263, 392, 284, 393, 518, 1000, 305, 648, 318, 487], [1000, 214, 198, 1000, 211, 227, 1000, 265, 268, 1000, 261, 1000, 221, 1000, 227, 1000, 210, 292, 260, 415], [1000, 259, 265, 1000, 317, 218, 1000, 1000, 1000, 1000, 342, 411, 399, 292, 305, 1000, 283, 538, 324, 378], [1000, 1000, 175, 1000, 175, 390, 1000, 1000, 768, 1000, 298, 180, 274, 411, 1000, 1000, 168, 427, 203, 484]]
1500.0 :  [[541, 242, 1000, 269, 411, 312, 365, 272, 360, 261, 334, 401, 318, 365, 722, 309, 1000, 318, 364, 297], [1000, 222, 1000, 198, 429, 1000, 225, 277, 607, 482, 885, 331, 1000, 220, 619, 310, 413, 283, 294, 543], [299, 190, 1000, 192, 1000, 184, 1000, 1000, 646, 311, 199, 156, 1000, 299, 1000, 372, 207, 223, 300, 209], [1000, 1000, 1000, 1000, 317, 177, 1000, 203, 205, 1000, 277, 239, 260, 1000, 1000, 207, 134, 209, 220, 329]]
1800.0 :  [[245, 383, 223, 317, 232, 261, 241, 209, 460, 347, 418, 215, 501, 307, 464, 551, 223, 282, 331, 1000], [284, 200, 196, 293, 210, 317, 385, 196, 276, 195, 439, 1000, 229, 271, 310, 361, 316, 265, 324, 1000], [297, 220, 1000, 825, 217, 361, 168, 362, 1000, 240, 628, 410, 217, 238, 629, 272, 322, 295, 184, 1000], [277, 242, 1000, 169, 236, 378, 165, 278, 216, 208, 190, 1000, 230, 299, 309, 235, 1000, 348, 150, 1000]]
2100.0 :  [[371, 507, 377, 425, 285, 472, 430, 266, 1000, 1000, 233, 214, 300, 269, 262, 339, 328, 341, 281, 401], [1000, 267, 265, 359, 1000, 258, 340, 423, 1000, 1000, 186, 342, 396, 203, 1000, 271, 540, 468, 441, 244], [178, 310, 210, 297, 231, 247, 355, 178, 1000, 1000, 341, 293, 263, 185, 342, 203, 168, 313, 301, 212], [196, 214, 303, 297, 175, 270, 333, 176, 1000, 1000, 174, 286, 201, 315, 204, 401, 134, 295, 279, 222]]
2500.0 :  [[1000, 356, 353, 280, 1000, 447, 303, 420, 357, 374, 1000, 569, 252, 243, 1000, 259, 261, 1000, 323, 451], [1000, 405, 287, 558, 1000, 692, 300, 1000, 352, 1000, 1000, 338, 516, 227, 1000, 364, 251, 1000, 472, 1000], [1000, 375, 259, 286, 1000, 300, 555, 327, 223, 1000, 1000, 478, 235, 448, 1000, 260, 269, 1000, 937, 1000], [1000, 308, 279, 181, 1000, 371, 236, 364, 251, 1000, 1000, 396, 343, 272, 1000, 329, 254, 1000, 246, 199]]
2700.0 :  [[330, 516, 303, 515, 1000, 438, 271, 454, 479, 593, 335, 1000, 263, 314, 377, 309, 295, 514, 359, 348], [350, 1000, 1000, 1000, 1000, 1000, 347, 465, 280, 320, 461, 1000, 580, 1000, 387, 1000, 1000, 266, 664, 242], [648, 1000, 1000, 1000, 1000, 238, 221, 319, 478, 214, 218, 1000, 261, 718, 246, 313, 171, 277, 348, 205], [1000, 267, 1000, 250, 1000, 225, 550, 190, 1000, 243, 1000, 1000, 329, 223, 187, 322, 338, 179, 239, 457]]
