300.0 :  [[1000, 1000, 1000, 502, 1000, 482, 1000, 1000, 602, 802, 748, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000], [1000, 1000, 1000, 1000, 1000, 416, 1000, 585, 787, 1000, 1000, 519, 1000, 721, 1000, 1000, 1000, 1000, 1000, 708], [1000, 1000, 756, 1000, 910, 752, 1000, 611, 463, 1000, 648, 1000, 1000, 447, 1000, 1000, 1000, 1000, 1000, 498], [1000, 1000, 1000, 1000, 1000, 685, 1000, 776, 1000, 1000, 1000, 1000, 965, 520, 1000, 1000, 1000, 1000, 1000, 604]]
600.0 :  [[653, 1000, 1000, 1000, 1000, 522, 880, 1000, 1000, 1000, 251, 1000, 659, 1000, 552, 1000, 594, 1000, 1000, 1000], [424, 1000, 1000, 1000, 1000, 492, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 553, 1000, 719, 223, 1000, 1000], [713, 728, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 626, 1000, 785, 258, 968, 1000], [462, 812, 906, 1000, 1000, 390, 489, 1000, 1000, 1000, 1000, 1000, 801, 1000, 503, 1000, 468, 614, 1000, 665]]
900.0 :  [[390, 212, 1000, 286, 424, 178, 1000, 426, 1000, 1000, 465, 264, 1000, 1000, 785, 156, 1000, 1000, 1000, 372], [1000, 193, 1000, 729, 1000, 246, 361, 1000, 688, 1000, 1000, 182, 1000, 643, 306, 350, 349, 1000, 1000, 250], [1000, 513, 1000, 412, 1000, 1000, 1000, 1000, 775, 1000, 337, 183, 1000, 352, 150, 347, 370, 1000, 1000, 1000], [1000, 796, 310, 581, 1000, 775, 1000, 1000, 523, 1000, 419, 258, 1000, 611, 1000, 385, 483, 1000, 1000, 1000]]
1200.0 :  [[1000, 175, 1000, 346, 822, 255, 315, 235, 276, 306, 199, 1000, 544, 1000, 633, 712, 270, 244, 304, 261], [1000, 204, 1000, 254, 610, 147, 499, 482, 276, 325, 447, 1000, 527, 1000, 345, 465, 302, 176, 439, 557], [1000, 186, 1000, 306, 452, 415, 1000, 279, 414, 464, 252, 1000, 357, 1000, 203, 384, 1000, 519, 310, 517], [1000, 176, 1000, 433, 494, 326, 436, 408, 303, 216, 193, 1000, 382, 1000, 430, 1000, 1000, 664, 485, 681]]
1500.0 :  [[249, 1000, 1000, 1000, 200, 179, 1000, 180, 194, 1000, 1000, 1000, 1000, 203, 200, 1000, 152, 1000, 1000, 294], [326, 1000, 1000, 222, 1000, 1000, 166, 1000, 191, 1000, 1000, 1000, 561, 1000, 1000, 1000, 283, 1000, 1000, 1000], [1000, 1000, 1000, 322, 1000, 265, 293, 1000, 173, 268, 1000, 1000, 1000, 1000, 1000, 1000, 279, 1000, 1000, 396], [482, 1000, 1000, 1000, 1000, 273, 268, 1000, 166, 297, 1000, 1000, 569, 1000, 1000, 1000, 517, 1000, 1000, 230]]
1800.0 :  [[319, 200, 162, 282, 252, 164, 331, 233, 386, 298, 367, 162, 1000, 1000, 886, 1000, 247, 191, 262, 171], [191, 303, 295, 390, 344, 479, 195, 355, 263, 399, 455, 155, 1000, 1000, 521, 1000, 230, 453, 497, 190], [197, 494, 419, 332, 340, 351, 234, 1000, 245, 370, 359, 385, 1000, 1000, 998, 1000, 216, 348, 473, 454], [184, 394, 407, 320, 458, 166, 233, 1000, 408, 1000, 479, 302, 1000, 1000, 1000, 1000, 221, 210, 345, 432]]
2100.0 :  [[313, 154, 695, 215, 186, 179, 219, 178, 171, 252, 1000, 200, 385, 182, 289, 189, 228, 243, 348, 192], [1000, 195, 239, 239, 1000, 320, 355, 228, 324, 270, 469, 221, 1000, 286, 342, 166, 169, 1000, 196, 427], [1000, 249, 237, 223, 1000, 148, 280, 246, 283, 287, 631, 300, 415, 347, 393, 172, 248, 1000, 329, 258], [1000, 248, 337, 353, 1000, 252, 442, 172, 306, 514, 483, 181, 534, 534, 264, 177, 217, 878, 326, 272]]
2500.0 :  [[229, 1000, 316, 511, 227, 289, 386, 238, 445, 361, 1000, 1000, 334, 297, 165, 246, 326, 263, 216, 276], [583, 1000, 307, 343, 298, 381, 203, 1000, 401, 202, 1000, 364, 304, 169, 189, 193, 1000, 323, 413, 215], [204, 395, 248, 316, 232, 249, 447, 1000, 240, 282, 1000, 263, 259, 253, 214, 221, 240, 409, 240, 497], [366, 292, 287, 394, 248, 253, 227, 1000, 255, 261, 1000, 201, 320, 406, 261, 483, 399, 316, 284, 376]]
2700.0 :  [[373, 608, 190, 239, 366, 371, 309, 264, 247, 248, 1000, 267, 433, 394, 264, 311, 309, 1000, 217, 374], [664, 528, 229, 283, 316, 604, 371, 374, 269, 239, 1000, 356, 507, 217, 291, 286, 591, 372, 436, 311], [1000, 387, 362, 194, 552, 466, 690, 497, 595, 345, 421, 466, 299, 261, 417, 1000, 1000, 279, 308, 342], [1000, 496, 229, 243, 246, 700, 1000, 240, 281, 221, 367, 572, 323, 272, 717, 1000, 412, 513, 338, 292]]
